Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,PrivacyGain
I,ID881,X1,1,Rvine,1.0,0.45,0.55,0.75,0.7,0.050000000000000044,0.75,1.5555555555555554,0.5
I,ID881,X1,1,Rvine star 1,1.0,0.45,0.55,0.6,0.4,0.19999999999999996,0.6,0.888888888888889,0.3500000000000001
I,ID881,X1,2,Cvine,1.0,0.2,0.8,0.7,0.5,0.19999999999999996,0.7,2.5,0.6000000000000001
I,ID881,X1,2,Rvine,1.0,0.2,0.8,0.6,0.65,-0.050000000000000044,0.6,3.25,0.8500000000000001
I,ID881,X1,2,Rvine star 1,1.0,0.2,0.8,0.6,0.4,0.19999999999999996,0.6,2.0,0.6000000000000001
I,ID881,X1,3,Cvine,1.0,0.45,0.55,0.45,0.6,-0.14999999999999997,0.45,1.3333333333333333,0.7
I,ID881,X1,3,Rvine,1.0,0.45,0.55,0.65,0.85,-0.19999999999999996,0.65,1.8888888888888888,0.75
I,ID881,X1,3,Rvine star 1,1.0,0.45,0.55,0.5,0.55,-0.050000000000000044,0.5,1.2222222222222223,0.6000000000000001
I,ID881,X1,4,Cvine,1.0,0.55,0.44999999999999996,0.4,0.65,-0.25,0.4,1.1818181818181817,0.7
I,ID881,X1,4,Rvine,1.0,0.55,0.44999999999999996,0.5,0.45,0.04999999999999999,0.5,0.8181818181818181,0.39999999999999997
I,ID881,X1,4,Rvine star 1,1.0,0.55,0.44999999999999996,0.55,0.65,-0.09999999999999998,0.55,1.1818181818181817,0.5499999999999999
I,ID881,X1,5,Cvine,1.0,0.6,0.4,0.55,0.55,0.0,0.55,0.9166666666666667,0.4
I,ID881,X1,5,Rvine,1.0,0.6,0.4,0.75,0.75,0.0,0.75,1.25,0.4
I,ID881,X1,5,Rvine star 1,1.0,0.6,0.4,0.5,0.6,-0.09999999999999998,0.5,1.0,0.5
I,ID881,X1,6,Cvine,1.0,0.55,0.44999999999999996,0.6,0.5,0.09999999999999998,0.6,0.9090909090909091,0.35
I,ID881,X1,6,Rvine,1.0,0.55,0.44999999999999996,0.7,0.9,-0.20000000000000007,0.7,1.6363636363636362,0.65
I,ID881,X1,6,Rvine star 1,1.0,0.55,0.44999999999999996,0.55,0.55,0.0,0.55,1.0,0.44999999999999996
I,ID881,X1,7,Cvine,1.0,0.2,0.8,0.5,0.45,0.04999999999999999,0.5,2.25,0.75
I,ID881,X1,7,Rvine,1.0,0.2,0.8,0.65,0.9,-0.25,0.65,4.5,1.05
I,ID881,X1,7,Rvine star 1,1.0,0.2,0.8,0.55,0.5,0.050000000000000044,0.55,2.5,0.75
I,ID881,X1,8,Cvine,1.0,0.4,0.6,0.45,0.65,-0.2,0.45,1.625,0.8
I,ID881,X1,8,Rvine,1.0,0.4,0.6,0.75,0.55,0.19999999999999996,0.75,1.375,0.4
I,ID881,X1,8,Rvine star 1,1.0,0.4,0.6,0.45,0.35,0.10000000000000003,0.45,0.8749999999999999,0.49999999999999994
I,ID881,X1,9,Cvine,1.0,0.6,0.4,0.55,0.4,0.15000000000000002,0.55,0.6666666666666667,0.25
I,ID881,X1,9,Rvine,1.0,0.6,0.4,0.8,0.65,0.15000000000000002,0.8,1.0833333333333335,0.25
I,ID881,X1,9,Rvine star 1,1.0,0.6,0.4,0.6,0.55,0.04999999999999993,0.6,0.9166666666666667,0.3500000000000001
